StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,DIABETES_CrudePrev,OBESITY_CrudePrev,ACCESS2_CrudePrev,CSMOKING_CrudePrev,FOODINSECU_CrudePrev,Geolocation
MT,Montana,Chouteau,30015,5847,12.2,35.6,10.3,16.6,14.8,POINT (-110.435460878256 47.880531571301)
IN,Indiana,Posey,18129,25040,12.9,40.4,6.8,15.3,10.9,POINT (-87.8686531082596 38.0219288739824)
CO,Colorado,Hinsdale,8053,765,10.0,23.5,6.0,8.4,,POINT (-107.300359047708 37.82133017176)
FL,Florida,Taylor,12123,21582,15.9,40.8,15.8,19.2,,POINT (-83.6031369466276 30.0471436713506)
OR,Oregon,Lincoln,41041,50821,14.9,35.7,8.3,13.6,,POINT (-123.868418235654 44.6417855618149)
MO,Missouri,Dade,29057,7716,16.0,40.7,9.6,20.9,16.1,POINT (-93.8503181583382 37.4320562427392)
KS,Kansas,Chautauqua,20019,3347,15.2,40.4,10.7,19.1,16.3,POINT (-96.2453754320248 37.1499822099907)
NE,Nebraska,Boone,31011,5310,12.7,33.1,9.2,14.8,11.4,POINT (-98.0670398397718 41.7067895094831)
VA,Virginia,Shenandoah,51171,45228,14.1,36.2,10.4,15.9,13.8,POINT (-78.571141564173 38.8579743902771)
OH,Ohio,Stark,39151,372716,13.7,40.4,7.8,17.1,13.2,POINT (-81.3654802311805 40.8137809427166)
OH,Ohio,Marion,39101,64851,14.8,44.2,9.5,19.6,16.1,POINT (-83.1608334768194 40.5872736718226)
IA,Iowa,Hardin,19083,16463,12.9,38.9,7.5,16.2,12.0,POINT (-93.2403980725192 42.383903478645)
IL,Illinois,Stark,17175,5218,12.7,38.2,7.8,15.1,12.9,POINT (-89.7976449615692 41.0932041768301)
FL,Florida,Hendry,12051,43333,16.8,37.6,31.5,17.4,,POINT (-81.1656946599271 26.5534136526158)
NC,North Carolina,Alexander,37003,36473,12.7,36.5,11.1,16.8,14.8,POINT (-81.1770332718611 35.9204725331462)
ND,North Dakota,Stark,38089,33001,9.5,37.4,8.5,14.1,11.4,POINT (-102.655043116578 46.8106409409199)
MI,Michigan,Schoolcraft,26153,8149,15.8,40.3,7.0,18.1,16.0,POINT (-86.1998498718029 46.1966612517026)
RI,Rhode Island,Newport,44005,83832,10.3,27.4,5.4,9.2,8.7,POINT (-71.2390684086213 41.5566741642743)
TX,Texas,Sterling,48431,1397,10.5,33.2,15.6,11.2,,POINT (-101.050074584309 31.8278191237971)
HI,Hawaii,Honolulu,15003,989408,12.4,25.3,5.2,9.8,16.9,POINT (-157.974693402227 21.4587970621318)
TN,Tennessee,Morgan,47129,21573,14.8,43.4,13.4,22.2,,POINT (-84.6487183067747 36.135200185636)
TX,Texas,Refugio,48391,6666,17.6,39.7,24.3,15.0,,POINT (-97.1600684538259 28.3260568643539)
MS,Mississippi,Leflore,28083,26378,20.9,43.4,14.6,20.9,37.5,POINT (-90.3012066422155 33.5506161433252)
